ID,Genotype,Sex,Minimum Age,Maximum Age,Food 1,Food 2,Temperature,#Flies
1,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
2,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
3,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
4,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
5,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
6,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
7,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
8,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
9,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
10,W1118;Trh-Gal4,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
11,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
12,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
13,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
14,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
15,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
16,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
17,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
18,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
19,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
20,W1118;UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
21,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
22,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
23,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
24,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
25,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
26,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
27,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
28,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
29,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
30,Trh-Gal4>UAS-TrpA1,M,5,7,5% sucrose + 5% yeast extract,5% sucrose + 5% yeast extract,22,4
